"Skill/Topic","Resource Type","Resource Name & Link","Relevant Tasks","Why This Resource","Priority"
"Python Fundamentals","Online Course","Python.org Official Tutorial","Tasks 1, 2","Authoritative, free, comprehensive","Essential"
"Python Fundamentals","Tutorial","Codecademy Python Course","Task 1","Interactive, beginner-friendly","Essential"
"NumPy","Documentation","NumPy Official Docs (numpy.org)","Task 2","Complete reference with examples","Essential"
"NumPy","Video Tutorial","NumPy Tutorial by Keith Galli (YouTube)","Task 2","Visual, walkthrough-based learning","Recommended"
"Data Manipulation","Course","DataCamp: Data Manipulation with Pandas","Task 3","Practical pandas focus","Recommended"
"Visualization","Tutorial","DataCamp: Gantt Charts with Matplotlib","Tasks 4, 24","Specific to your project needs","Essential"
"Visualization","Documentation","Matplotlib Official Docs","Task 4","Complete reference","Recommended"
"Deep Learning Basics","Tutorial","TensorFlow Regression Tutorial","Task 5","Official TensorFlow tutorial, hands-on","Essential"
"Deep Learning","Course","Coursera: Deep Learning Specialization (Andrew Ng)","Task 5","Comprehensive DL fundamentals","Recommended"
"Neural Networks","Video Series","3Blue1Brown Neural Networks Playlist (YouTube)","Task 5, 6","Exceptional visual explanations","Recommended"
"Backpropagation","Article","Matt Mazur: Step-by-Step Backpropagation Example","Task 6","Detailed worked example","Essential"
"Backpropagation","Google Course","Google ML Crash Course: Backpropagation","Task 6","Official, clear explanation","Recommended"
"RL Theory","Textbook","TensorFlow Agents: Intro to RL & DQN","Tasks 7, 10, 12","Official, directly applicable","Essential"
"RL Theory","Textbook","Sutton & Barto: Reinforcement Learning (2nd Edition)","Tasks 7, 10, 15","Bible of RL, comprehensive","Essential"
"RL Theory","Video Series","Andrej Karpathy YouTube Channel (Talks on ML/AI)","Task 7","Expert perspective, deep dives","Recommended"
"Gymnasium/Gym","Documentation","Gymnasium Official Docs","Tasks 8, 18","Complete API reference","Essential"
"Gymnasium","Tutorial","YouTube: Custom Gymnasium Environment Tutorial","Task 18","Step-by-step video walkthrough","Recommended"
"Gymnasium","GitHub","johnnycode8/gym_custom_env Repository","Task 18","Multiple working examples","Recommended"
"Q-Learning","Article","Lukasschwarz.de: DQN Explanation & Implementation","Tasks 10, 12, 13","Detailed math + TensorFlow code","Essential"
"DQN","Paper","Mnih et al. 2015: Playing Atari with Deep Reinforcement Learning","Task 12","Original DQN paper","Optional"
"Stable Baselines3","Documentation","Stable Baselines3 Docs","Tasks 13, 17","Complete API + examples","Essential"
"Stable Baselines3","Tutorial","SB3 Examples Documentation","Task 17","Ready-to-run code examples","Recommended"
"Policy Gradients","Article","Hugging Face: Advantage Actor Critic (A2C)","Tasks 15, 16","Clear visual explanations","Essential"
"Actor-Critic","Article","CodeSignal/APXML: A2C Explained","Task 16","Mathematical + intuitive explanation","Recommended"
"Actor-Critic","GeeksforGeeks","GeeksforGeeks: Actor-Critic Algorithm","Task 16","Tutorial with pseudocode","Recommended"
"Custom Environments","Tutorial","CTO2B: OpenAI Gym Custom Environments Guide","Task 18","Step-by-step guide","Essential"
"Discrete Event Simulation","Video","Paul Fishwick: Factory DES in Python (YouTube)","Task 20","Classic factory simulation example","Essential"
"Discrete Event Simulation","Library Docs","SimPy Official Documentation","Task 20","Complete reference","Essential"
"DES Tutorial","DataCamp","DataCamp: DES with SimPy","Task 20","Practical walkthrough","Recommended"
"DES for Manufacturing","Library","FactorySimPy Documentation","Task 21","Purpose-built for manufacturing","Recommended"
"Manufacturing Scheduling","Paper","Deep RL for Semiconductor Scheduling (IEEE)","Task 22","Real manufacturing case study","Recommended"
"Manufacturing Scheduling","Paper","RL for Real-Time Scheduling (Taghipour et al.)","Tasks 22, 32","DQN + MBPO on actual factory data","Recommended"
"Job Shop Scheduling","Documentation","OR-Tools: Job Shop Scheduling","Task 32","Constraint programming baseline","Recommended"
"Job Shop Scheduling","Article","AMPL: Job Shop Scheduling Intro","Task 32","Operations research perspective","Recommended"
"Reward Shaping","Article","CodeSignal: Reward Shaping for Faster Learning","Task 26","Practical reward design principles","Recommended"
"Reward Shaping","Paper","ArXiv: Comprehensive Overview of Reward Engineering","Tasks 26, 27","Detailed taxonomy of techniques","Optional"
"Multi-Agent RL","Course","Hugging Face: Intro to Multi-Agent RL","Task 29","Free, visual course","Recommended"
"Multi-Agent RL","Wikipedia","Multi-Agent Reinforcement Learning Overview","Task 29","Broad conceptual overview","Recommended"
"Multi-Agent RL","GeeksforGeeks","Multi-Agent RL in AI","Task 29","Tutorial with examples","Recommended"
"Multi-Agent RL","Paper","Survey: Cooperative MARL in Open Environments","Task 29","State-of-the-art review","Optional"
"Version Control","Documentation","GitHub: Git Basics","All tasks","Essential for saving work","Essential"
"Academic Writing","Tool","Overleaf: LaTeX for Papers","Tasks 24, 32","Documentation in LaTeX","Recommended"
"Code Notebooks","Tool","Google Colab (already using)","All tasks","Recommended for running code","Essential"
