time,FU A,Utilisation Rate,FU B,Utilisation Rate,FU C,Utilisation Rate,FU D,Utilisation Rate,FU E,Utilisation Rate,to do_1,complete_1,to do_2,complete_2
0,O1-P1,0.0,,0.0,,0.0,,0.0,,0.0,2,0,6,0
1,O1-P1,0.0,,0.0,,0.0,,0.0,,0.0,2,0,6,0
2,O1-P1,0.0,,0.0,,0.0,,0.0,,0.0,2,0,6,0
3,O1-P1,1.0,,0.0,,0.0,,0.0,,0.0,2,0,6,0
4,O1-P1,1.0,,0.0,,0.0,,0.0,,0.0,2,0,6,0
5,O1-P1,1.0,,0.0,,0.0,,0.0,,0.0,2,0,6,0
6,O1-P1,1.0,O2-P1,0.0,,0.0,,0.0,,0.0,2,0,5,0
7,O1-P1,1.0,O2-P1,0.0,,0.0,,0.0,,0.0,2,0,5,0
8,O1-P1,1.0,O2-P1,0.0,,0.0,,0.0,,0.0,2,0,5,0
9,O1-P1,1.0,O2-P1,0.0,,0.0,,0.0,,0.0,2,0,5,0
10,O1-P1,1.0,O2-P1,0.0,,0.0,,0.0,,0.0,2,0,5,0
11,O1-P1,1.0,O2-P1,0.0,,0.0,,0.0,,0.0,2,0,5,0
12,,1.0,,0.5,O1-P1,0.0,,0.0,,0.0,2,0,5,1
13,,1.0,,0.5,O1-P1,0.0,,0.0,,0.0,2,0,5,1
14,,1.0,,0.5,O1-P1,0.0,,0.0,,0.0,2,0,5,1
15,,1.0,,0.5,O1-P1,0.0,,0.0,,0.0,2,0,5,1
16,O1-P2,1.0,O2-P2,0.5,O1-P1,0.25,,0.0,,0.0,1,0,4,1
17,O1-P2,1.0,O2-P2,0.5,O1-P1,0.25,,0.0,,0.0,1,0,4,1
18,O1-P2,1.0,O2-P2,0.5,O1-P1,0.25,,0.0,,0.0,1,0,4,1
19,O1-P2,0.3157894736842105,O2-P2,0.5,,0.25,O1-P1,0.0,,0.0,1,0,4,1
20,O1-P2,0.3157894736842105,O2-P2,0.5,,0.25,O1-P1,0.0,,0.0,1,0,4,1
21,O1-P2,0.3157894736842105,O2-P2,0.5,,0.25,O1-P1,0.0,,0.0,1,0,4,1
22,,0.3157894736842105,,0.5454545454545454,O1-P2,0.25,O1-P1,0.0,,0.0,1,0,4,2
23,,0.3157894736842105,,0.5454545454545454,O1-P2,0.25,O1-P1,0.0,,0.0,1,0,4,2
24,O1-P3,0.3157894736842105,O2-P3,0.5454545454545454,O1-P2,0.25,,0.20833333333333334,,0.0,0,1,3,2
25,O1-P3,0.3157894736842105,O2-P3,0.5454545454545454,O1-P2,0.25,,0.20833333333333334,,0.0,0,1,3,2
26,O1-P3,0.3157894736842105,O2-P3,0.5454545454545454,O1-P2,0.3076923076923077,,0.20833333333333334,,0.0,0,1,3,2
27,O1-P3,0.3333333333333333,O2-P3,0.5454545454545454,,0.3076923076923077,O1-P2,0.20833333333333334,,0.0,0,1,3,2
28,O1-P3,0.3333333333333333,O2-P3,0.5454545454545454,,0.3076923076923077,O1-P2,0.20833333333333334,,0.0,0,1,3,2
29,O1-P3,0.3333333333333333,O2-P3,0.5454545454545454,,0.3076923076923077,O1-P2,0.20833333333333334,,0.0,0,1,3,2
30,,0.3333333333333333,,0.6,O1-P3,0.3076923076923077,O1-P2,0.20833333333333334,,0.0,0,1,3,3
31,,0.3333333333333333,,0.6,O1-P3,0.3076923076923077,O1-P2,0.20833333333333334,,0.0,0,1,3,3
32,,0.3333333333333333,O2-P4,0.6,O1-P3,0.3076923076923077,,0.3125,,0.0,0,2,2,3
33,,0.3333333333333333,O2-P4,0.6,O1-P3,0.3076923076923077,,0.3125,,0.0,0,2,2,3
34,,0.3333333333333333,O2-P4,0.6,O1-P3,0.35294117647058826,,0.3125,,0.0,0,2,2,3
35,,0.3333333333333333,O2-P4,0.6,O1-P3,0.35294117647058826,,0.3125,,0.0,0,2,2,3
36,,0.3333333333333333,O2-P4,0.6,O1-P3,0.35294117647058826,,0.3125,,0.0,0,2,2,3
37,,0.3333333333333333,O2-P4,0.6,O1-P3,0.35294117647058826,,0.3125,,0.0,0,2,2,3
38,,0.3333333333333333,,0.631578947368421,,0.35294117647058826,O1-P3,0.3125,,0.0,0,2,2,4
39,,0.3333333333333333,,0.631578947368421,,0.35294117647058826,O1-P3,0.3125,,0.0,0,2,2,4
40,,0.3333333333333333,,0.631578947368421,,0.35294117647058826,O1-P3,0.3125,,0.0,0,2,2,4
41,,0.3333333333333333,,0.631578947368421,,0.35294117647058826,O1-P3,0.3125,,0.0,0,2,2,4
42,,0.3333333333333333,,0.631578947368421,,0.35294117647058826,O1-P3,0.3125,,0.0,0,2,2,4
43,,0.3333333333333333,O2-P5,0.631578947368421,,0.35294117647058826,,0.3488372093023256,,0.0,0,3,1,4
44,,0.3333333333333333,O2-P5,0.631578947368421,,0.35294117647058826,,0.3488372093023256,,0.0,0,3,1,4
45,,0.3333333333333333,O2-P5,0.631578947368421,,0.35294117647058826,,0.3488372093023256,,0.0,0,3,1,4
46,,0.3333333333333333,O2-P5,0.631578947368421,,0.35294117647058826,,0.3488372093023256,,0.0,0,3,1,4
47,,0.3333333333333333,O2-P5,0.631578947368421,,0.35294117647058826,,0.3488372093023256,,0.0,0,3,1,4
48,,0.3333333333333333,O2-P5,0.631578947368421,,0.35294117647058826,,0.3488372093023256,,0.0,0,3,1,4
49,,0.3333333333333333,,0.6122448979591837,,0.35294117647058826,,0.3488372093023256,,0.0,0,3,1,5
50,,0.3333333333333333,O2-P6,0.6122448979591837,,0.35294117647058826,,0.3488372093023256,,0.0,0,3,0,5
51,,0.3333333333333333,O2-P6,0.6122448979591837,,0.35294117647058826,,0.3488372093023256,,0.0,0,3,0,5
52,,0.3333333333333333,O2-P6,0.6122448979591837,,0.35294117647058826,,0.3488372093023256,,0.0,0,3,0,5
53,,0.3333333333333333,O2-P6,0.6122448979591837,,0.35294117647058826,,0.3488372093023256,,0.0,0,3,0,5
54,,0.3333333333333333,O2-P6,0.6122448979591837,,0.35294117647058826,,0.3488372093023256,,0.0,0,3,0,5
55,,0.3333333333333333,O2-P6,0.6122448979591837,,0.35294117647058826,,0.3488372093023256,,0.0,0,3,0,5
56,,0.3333333333333333,,0.6428571428571429,,0.35294117647058826,,0.3488372093023256,,0.0,0,3,0,6
